0	HOLS	07June2024									
1	A06	Newcastle                     	09AUG2024	09AUG2024	WOMENS DAY     	00:00	00:00
1	A06	Newcastle                     	24SEP2024	24SEP2024	HERITAGE DAY   	00:00	00:00
1	A06	Newcastle                     	16DEC2024	16DEC2024	DAY OF RECONCIL	00:00	00:00
1	A06	Newcastle                     	25DEC2024	25DEC2024	CHRISTMAS DAY  	00:00	00:00
1	A06	Newcastle                     	26DEC2024	26DEC2024	DAY OF GOODWILL	00:00	00:00
1	A0N	Austin North Mopac	04JUL2024	04JUL2024	INDEPENDENCE DY	00:00	00:00
1	A0N	Austin North Mopac	02SEP2024	02SEP2024	LABOR DAY      	00:00	00:00
1	A0N	Austin North Mopac	28NOV2024	28NOV2024	THANKSGIVING   	00:00	00:00
1	A0N	Austin North Mopac	24DEC2024	24DEC2024	CHRISTMAS EVE  	08:00	12:00
1	A0N	Austin North Mopac	25DEC2024	25DEC2024	CHRISTMAS      	00:00	00:00
1	A0N	Austin North Mopac	31DEC2024	31DEC2024	NEW YEARS EVE  	08:00	12:00
1	A0N	Austin North Mopac	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A0P	Aix En Provence Tgv Med	14JUL2024	14JUL2024	NATIONAL DAY   	10:00	20:30
1	A0P	Aix En Provence Tgv Med	15AUG2024	15AUG2024	ASSUMPTION DAY 	09:00	22:00
1	A0P	Aix En Provence Tgv Med	01NOV2024	01NOV2024	ALL SAINTS     	09:00	22:00
1	A0P	Aix En Provence Tgv Med	11NOV2024	11NOV2024	ARMISTICE DAY  	09:00	22:00
1	A0P	Aix En Provence Tgv Med	25DEC2024	25DEC2024	CHRISTMAS      	09:00	22:00
1	A14	Kathu Sishen	16JUN2024	17JUN2024	YOUTH DAY      	00:00	00:00
1	A14	Kathu Sishen	24SEP2024	24SEP2024	HERITAGE DAY   	00:00	00:00
1	A14	Kathu Sishen	16DEC2024	16DEC2024	DAY OF RECONCIL	00:00	00:00
1	A14	Kathu Sishen	25DEC2024	25DEC2024	CHRISTMAS DAY  	00:00	00:00
1	A14	Kathu Sishen	26DEC2024	26DEC2024	DAY OF GOODWILL	00:00	00:00
1	A1B	Albuquerque New Mexico	02SEP2024	02SEP2024	LABOR DAY      	00:00	00:00
1	A1B	Albuquerque New Mexico	28NOV2024	28NOV2024	THANKSGIVING   	00:00	00:00
1	A1B	Albuquerque New Mexico	24DEC2024	24DEC2024	CHRISTMAS EVE  	08:00	14:00
1	A1B	Albuquerque New Mexico	25DEC2024	25DEC2024	CHRISTMAS      	00:00	00:00
1	A1B	Albuquerque New Mexico	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A1L	Arboga City	21JUN2024	21JUN2024	MIDSOMMARAFTON 	00:00	00:00
1	A1L	Arboga City	24DEC2024	24DEC2024	JULAFTON       	00:00	00:00
1	A1L	Arboga City	25DEC2024	25DEC2024	JULDAGEN       	00:00	00:00
1	A1L	Arboga City	26DEC2024	26DEC2024	ANNANDAG JUL   	00:00	00:00
1	A1L	Arboga City	31DEC2024	31DEC2024	NEW YEARS EVE  	00:00	00:00
1	A1L	Arboga City	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A1L	Arboga City	06JAN2025	06JAN2025	EPIPHANY       	00:00	00:00
1	A1N	Albuquerque Crown Plaza	02SEP2024	02SEP2024	LABOR DAY      	00:00	00:00
1	A1N	Albuquerque Crown Plaza	28NOV2024	28NOV2024	THANKSGIVING   	00:00	00:00
1	A1N	Albuquerque Crown Plaza	24DEC2024	24DEC2024	CHRISTMAS EVE  	08:00	14:00
1	A1N	Albuquerque Crown Plaza	25DEC2024	25DEC2024	CHRISTMAS      	00:00	00:00
1	A1N	Albuquerque Crown Plaza	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A1O	Ascoli Piceno City	05AUG2024	05AUG2024	S EMIDIO       	00:00	00:00
1	A1O	Ascoli Piceno City	15AUG2024	15AUG2024	HOLIDAY        	00:00	00:00
1	A1O	Ascoli Piceno City	01NOV2024	01NOV2024	SAINTS DAY     	00:00	00:00
1	A1O	Ascoli Piceno City	24DEC2024	24DEC2024	CHRISTMAS      	08:30	12:30
1	A1O	Ascoli Piceno City	25DEC2024	26DEC2024	CHRISTMAS      	00:00	00:00
1	A1O	Ascoli Piceno City	31DEC2024	31DEC2024	NEW YEAR       	08:30	12:30
1	A1O	Ascoli Piceno City	01JAN2025	01JAN2025	NEW YEAR       	00:00	00:00
1	A1O	Ascoli Piceno City	06JAN2025	06JAN2025	EPIPHANY       	00:00	00:00
1	A1V	Auckland Penrose	28JUN2024	28JUN2024	MATARIKI       	00:00	00:00
1	A1V	Auckland Penrose	28OCT2024	28OCT2024	LABOUR DAY     	00:00	00:00
1	A1V	Auckland Penrose	25DEC2024	26DEC2024	CHRISTMAS HOLS 	00:00	00:00
1	A1Y	Civitanova Marche Macerata	15AUG2024	15AUG2024	HOLIDAY        	00:00	00:00
1	A1Y	Civitanova Marche Macerata	01NOV2024	01NOV2024	HOLIDAY        	00:00	00:00
1	A1Y	Civitanova Marche Macerata	24DEC2024	24DEC2024	HOLIDAY        	08:30	12:45
1	A1Y	Civitanova Marche Macerata	25DEC2024	25DEC2024	HOLIDAY        	00:00	00:00
1	A1Y	Civitanova Marche Macerata	26DEC2024	26DEC2024	HOLIDAY        	00:00	00:00
1	A1Y	Civitanova Marche Macerata	31DEC2024	31DEC2024	HOLIDAY        	08:30	12:45
1	A1Y	Civitanova Marche Macerata	01JAN2025	01JAN2025	HOLIDAY        	00:00	00:00
1	A1Y	Civitanova Marche Macerata	06JAN2025	06JAN2025	HOLIDAY        	00:00	00:00
1	A23	Colonie Center Mall	04JUL2024	04JUL2024	INDEPENDENCE DY	00:00	00:00
1	A23	Colonie Center Mall	02SEP2024	02SEP2024	LABOR DAY      	08:00	13:00
1	A23	Colonie Center Mall	28NOV2024	28NOV2024	THANKSGIVING   	00:00	00:00
1	A23	Colonie Center Mall	24DEC2024	24DEC2024	CHRISTMAS EVE  	08:00	13:00
1	A23	Colonie Center Mall	25DEC2024	25DEC2024	CHRISTMAS DAY  	00:00	00:00
1	A23	Colonie Center Mall	31DEC2024	31DEC2024	NEW YEARS EVE  	08:00	13:00
1	A23	Colonie Center Mall	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A2C	Algeciras	26JUN2024	26JUN2024	LOCAL DAY      	00:00	00:00
1	A2C	Algeciras	16JUL2024	16JUL2024	LOCAL DAY      	00:00	00:00
1	A2C	Algeciras	15AUG2024	15AUG2024	NATIONAL DAY   	00:00	00:00
1	A2C	Algeciras	12OCT2024	12OCT2024	NATIONAL DAY   	00:00	00:00
1	A2C	Algeciras	01NOV2024	01NOV2024	NATIONAL DAY   	00:00	00:00
1	A2C	Algeciras	06DEC2024	06DEC2024	NATIONAL DAY   	00:00	00:00
1	A2C	Algeciras	08DEC2024	08DEC2024	NATIONAL DAY   	00:00	00:00
1	A2C	Algeciras	24DEC2024	24DEC2024	NATIONAL DAY   	10:00	13:00
1	A2C	Algeciras	25DEC2024	25DEC2024	NATIONAL DAY   	00:00	00:00
1	A2C	Algeciras	31DEC2024	31DEC2024	NATIONAL DAY   	10:00	13:00
1	A2D	Vadodara					
1	A2G	Sucat					
1	A2M	Armidale City Centre	10JUN2024	10JUN2024	KINGS BIRTHDAY 	00:00	00:00
1	A2M	Armidale City Centre	05AUG2024	05AUG2024	BANK HOLIDAY   	00:00	00:00
1	A2M	Armidale City Centre	07OCT2024	07OCT2024	LABOUR DAY     	00:00	00:00
1	A2M	Armidale City Centre	25DEC2024	26DEC2024	CHRISTMAS HOLS 	00:00	00:00
1	A2M	Armidale City Centre	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A2N	Andenes City					
1	A38	Bertrange	23JUN2024	23JUN2024	GRD DUKE       	00:00	00:00
1	A38	Bertrange	25DEC2024	25DEC2024	CHRISTMAS      	00:00	00:00
1	A3I	Agra Trident Hilton					
1	A3S	Altamonte Springs	03JUL2024	03JUL2024	HOTEL EVENT    	08:00	13:00
1	A3S	Altamonte Springs	04JUL2024	04JUL2024	INDEPENDENCE DY	08:00	16:00
1	A3S	Altamonte Springs	02SEP2024	02SEP2024	LABOR DAY      	08:00	16:00
1	A3S	Altamonte Springs	28NOV2024	28NOV2024	THANKSGIVING DY	00:00	00:00
1	A3S	Altamonte Springs	25DEC2024	25DEC2024	CHRISTMAS DAY  	00:00	00:00
1	A3S	Altamonte Springs	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A3Z	Horta					
1	A4H	Athens	04JUL2024	04JUL2024	INDEPENDENCE DY	08:00	16:00
1	A4H	Athens	02SEP2024	02SEP2024	LABOR DAY      	08:00	16:00
1	A4H	Athens	28NOV2024	28NOV2024	THANKSGIVING   	00:00	00:00
1	A4H	Athens	25DEC2024	25DEC2024	CHRISTMAS DAY  	00:00	00:00
1	A4H	Athens	01JAN2025	01JAN2025	NEW YEARS DAY  	00:00	00:00
1	A4N	Aschersleben	10JUN2024	16JUN2024	LOCAL HOLIDAY  	00:00	00:00
1	A4N	Aschersleben	03OCT2024	03OCT2024	GERMAN UNITY   	00:00	00:00
1	A4N	Aschersleben	31OCT2024	31OCT2024	REFORMATION    	00:00	00:00
1	A4N	Aschersleben	24DEC2024	26DEC2024	LOCAL HOLIDAY  	00:00	00:00
1	A4N	Aschersleben	31DEC2024	31DEC2024	SILVESTER      	00:00	00:00
